Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAN250,BUILDING,BUILDING,380056.936N,0323107.871E,3713.7,54.1,NO INFO,,NO
LTAN251,BUILDING,BUILDING,380057.073N,0323108.356E,3712.6,54.1,NO INFO,,NO
LTAN252,BUILDING,BUILDING,380057.455N,0323108.114E,3713.5,54.1,NO INFO,,NO
LTAN253,BUILDING,BUILDING,380056.944N,0323109.127E,3709.9,54.1,NO INFO,,NO
LTAN254,BUILDING,BUILDING,380056.565N,0323109.279E,3709.7,54.1,NO INFO,,NO
LTAN255,BUILDING,BUILDING,380056.479N,0323108.882E,3710.4,54.1,NO INFO,,NO
LTAN256,BUILDING,BUILDING,380055.359N,0323108.138E,3761.3,103.3,NO INFO,,NO
LTAN257,BUILDING,BUILDING,380053.762N,0323107.805E,3760.7,103.3,NO INFO,,NO
LTAN258,MOSQUE,BUILDING,380051.885N,0323108.117E,3715.7,64.0,NO INFO,,NO
LTAN259,BUILDING,BUILDING,380051.674N,0323106.807E,3666.4,14.8,NO INFO,,NO
LTAN260,BUILDING,BUILDING,380052.354N,0323106.222E,3669.3,14.8,NO INFO,,NO
LTAN261,BUILDING,BUILDING,380053.493N,0323106.359E,3674.0,14.8,NO INFO,,NO
LTAN262,BUILDING,BUILDING,380054.166N,0323106.181E,3676.4,14.8,NO INFO,,NO
LTAN263,BUILDING,BUILDING,380054.713N,0323106.002E,3677.9,14.8,NO INFO,,NO
LTAN264,BUILDING,BUILDING,380055.343N,0323104.943E,3681.3,14.8,NO INFO,,NO
LTAN265,BUILDING,BUILDING,380054.639N,0323105.177E,3679.2,14.8,NO INFO,,NO
LTAN266,BUILDING,BUILDING,380053.982N,0323105.360E,3676.4,14.8,NO INFO,,NO
LTAN267,BUILDING,BUILDING,380053.369N,0323105.515E,3673.6,14.8,NO INFO,,NO
LTAN268,BUILDING,BUILDING,380055.331N,0323106.282E,3678.2,14.8,NO INFO,,NO
LTAN269,BUILDING,BUILDING,380101.900N,0323141.385E,3727.5,103.3,NO INFO,,NO
