Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_154,BUILDING,BUILDING,375230.395N,0301907.710E,3078.58,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_155,BUILDING,BUILDING,375230.510N,0301905.644E,3070.01,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_156,BUILDING,BUILDING,375230.848N,0301905.834E,3069.59,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_157,BUILDING,BUILDING,375230.564N,0301907.193E,3069.01,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_158,BUILDING,BUILDING,375230.482N,0301904.941E,3070.52,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_159,BUILDING,BUILDING,375230.790N,0301908.176E,3068.05,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_160,BUILDING,BUILDING,375230.949N,0301908.777E,3077.35,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_161,BUILDING,BUILDING,375231.607N,0301908.326E,3067.12,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_162,BUILDING,BUILDING,375232.028N,0301908.265E,3066.83,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_163,BUILDING,BUILDING,375231.449N,0301909.833E,3076.04,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_164,BUILDING,BUILDING,375232.086N,0301909.581E,3065.94,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_165,BUILDING,BUILDING,375231.692N,0301909.100E,3066.58,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_166,BUILDING,BUILDING,375232.080N,0301908.957E,3066.38,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_167,BUILDING,BUILDING,375232.238N,0301909.164E,3066.09,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_168,BUILDING,BUILDING,375232.363N,0301909.634E,3065.91,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_169,BUILDING,BUILDING,375232.264N,0301910.750E,3065.91,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_170,BUILDING,BUILDING,375232.448N,0301910.262E,3065.91,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_171,BUILDING,BUILDING,375232.595N,0301910.652E,3065.81,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_172,BUILDING,BUILDING,375232.389N,0301911.020E,3065.75,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
