Obstacle_designator,AIXM_NAME  ,OTHER Type(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,color of lighting,Group
ENR256,WIND POWER PLANT,WINDMILL,365818.71N,0332909.39E,5968,617,YES,OTHER,NO
ENR257,WIND POWER PLANT,WINDMILL,400330.10N,0264904.33E,1973,660,YES,OTHER,NO
ENR258,WIND POWER PLANT,WINDMILL,400558.38N,0265425.20E,3088,660,YES,OTHER,NO
ENR259,WIND POWER PLANT,WINDMILL,410857.81N,0281822.64E,1053,427,YES,OTHER,NO
ENR260,WIND POWER PLANT,WINDMILL,374549.36N,0285043.91E,6475,438,YES,OTHER,NO
ENR261,WIND POWER PLANT,WINDMILL,395610.75N,0301042.51E,4528,427,YES,OTHER,NO
ENR262,WIND POWER PLANT,WINDMILL,373043.27N,0344901.79E,3947,525,YES,OTHER,NO
ENR263,WIND POWER PLANT,WINDMILL,400438.46N,0264904.84E,2409,660,YES,OTHER,NO
ENR264,WIND POWER PLANT,WINDMILL,373237.48N,0344534.61E,5909,525,YES,OTHER,NO
ENR265,WIND POWER PLANT,WINDMILL,410855.80N,0281836.28E,1004,427,YES,OTHER,NO
ENR266,WIND POWER PLANT,WINDMILL,374558.10N,0285041.39E,6380,438,YES,OTHER,NO
ENR267,WIND POWER PLANT,WINDMILL,415731.21N,0264035.33E,2077,489,YES,OTHER,NO
ENR268,WIND POWER PLANT,WINDMILL,373108.22N,0345122.56E,5476,525,YES,OTHER,NO
ENR269,WIND POWER PLANT,WINDMILL,373114.08N,0345330.23E,6637,525,YES,OTHER,NO
ENR270,WIND POWER PLANT,WINDMILL,373141.50N,0345354.44E,6145,525,YES,OTHER,NO
ENR271,WIND POWER PLANT,WINDMILL,373143.63N,0345419.10E,6247,525,YES,OTHER,NO
ENR272,WIND POWER PLANT,WINDMILL,373331.02N,0345403.63E,6230,525,YES,OTHER,NO
ENR273,WIND POWER PLANT,WINDMILL,373201.93N,0344604.68E,5298,525,YES,OTHER,NO
ENR274,WIND POWER PLANT,WINDMILL,373133.90N,0344630.10E,4924,525,YES,OTHER,NO
ENR275,WIND POWER PLANT,WINDMILL,373151.58N,0344728.23E,4961,525,YES,OTHER,NO
ENR276,WIND POWER PLANT,WINDMILL,373103.19N,0344736.88E,4682,525,YES,OTHER,NO
ENR277,WIND POWER PLANT,WINDMILL,373058.76N,0344830.98E,4482,525,YES,OTHER,NO
ENR278,WIND POWER PLANT,WINDMILL,373059.89N,0345044.74E,5390,525,YES,OTHER,NO
ENR279,WIND POWER PLANT,WINDMILL,373330.52N,0345436.24E,6234,525,YES,OTHER,NO
ENR280,WIND POWER PLANT,WINDMILL,373341.80N,0345508.05E,5909,525,YES,OTHER,NO
