Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTCU268,BUILDING,BUILDING,385159.986N,0403943.508E,3811.5,14.8,NO,,NO,
LTCU269,BUILDING,BUILDING,385158.894N,0403943.526E,3794.8,14.8,NO,,NO,
LTCU270,BUILDING,BUILDING,385159.005N,0403942.443E,3793.1,14.8,NO,,NO,
LTCU271,BUILDING,BUILDING,385203.026N,0403937.558E,3854.5,14.8,NO,,NO,
LTCU272,BUILDING,BUILDING,385201.876N,0403939.798E,3818.9,14.8,NO,,NO,
LTCU273,BUILDING,BUILDING,385201.896N,0403940.890E,3820.5,14.8,NO,,NO,
LTCU274,BUILDING,BUILDING,385159.922N,0403944.649E,3814.6,14.8,NO,,NO,
LTCU275,BUILDING,BUILDING,385158.862N,0403944.541E,3795.7,14.8,NO,,NO,
LTCU276,BUILDING,BUILDING,385201.551N,0403944.693E,3846.5,14.8,NO,,NO,
LTCU277,BUILDING,BUILDING,385203.137N,0403943.881E,3867.3,14.8,NO,,NO,
LTCU278,BUILDING,BUILDING,385201.543N,0403945.322E,3848.0,14.8,NO,,NO,
LTCU279,BUILDING,BUILDING,385201.205N,0403946.527E,3841.6,14.8,NO,,NO,
LTCU280,BUILDING,BUILDING,385159.684N,0403946.029E,3806.3,14.8,NO,,NO,
