Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFG364,MINARET,BUILDING,361708.710N,0321928.213E,315.13,63.98,NO INFO,,NO,
LTFG365,BUILDING,BUILDING,361911.727N,0321854.009E,243.61,14.76,NO INFO,,NO,
LTFG366,BUILDING,BUILDING,361908.332N,0321847.988E,240.43,24.61,NO INFO,,NO,
LTFG367,BUILDING,BUILDING,361908.057N,0321850.510E,247.15,14.76,NO INFO,,NO,
LTFG368,MINARET,BUILDING,361909.985N,0321710.812E,564.77,63.98,NO INFO,,NO,
LTFG369,BUILDING,BUILDING,361936.977N,0321807.758E,410.76,34.45,NO INFO,,NO,
LTFG370,BUILDING,BUILDING,361708.258N,0321927.857E,283.75,34.45,NO INFO,,NO,
LTFG371,BUILDING,BUILDING,361802.011N,0321809.442E,105.67,14.76,NO INFO,,NO,
LTFG372,BUILDING,BUILDING,361802.282N,0321809.841E,106.66,14.76,NO INFO,,NO,
LTFG373,BUILDING,BUILDING,361802.510N,0321810.216E,107.59,14.76,NO INFO,,NO,
LTFG374,BUILDING,BUILDING,361802.777N,0321810.583E,108.28,14.76,NO INFO,,NO,
LTFG375,BUILDING,BUILDING,361802.586N,0321811.456E,110.42,14.76,NO INFO,,NO,
LTFG376,BUILDING,BUILDING,361802.948N,0321811.854E,111.00,14.76,NO INFO,,NO,
LTFG377,GREENHOUSE,BUILDING,361804.660N,0321828.382E,120.74,14.76,NO INFO,,NO,
LTFG378,GREENHOUSE,BUILDING,361804.737N,0321828.271E,120.48,14.76,NO INFO,,NO,
LTFG379,GREENHOUSE,BUILDING,361804.859N,0321828.103E,120.09,14.76,NO INFO,,NO,
LTFG380,GREENHOUSE,BUILDING,361804.994N,0321827.932E,120.22,14.76,NO INFO,,NO,
LTFG381,GREENHOUSE,BUILDING,361805.870N,0321830.902E,126.80,14.76,NO INFO,,NO,
LTFG382,GREENHOUSE,BUILDING,361805.952N,0321830.823E,126.80,14.76,NO INFO,,NO,
LTFG383,GREENHOUSE,BUILDING,361806.042N,0321830.709E,126.34,14.76,NO INFO,,NO,
LTFG384,GREENHOUSE,BUILDING,361805.540N,0321831.495E,127.41,14.76,NO INFO,,NO,
LTFG385,GREENHOUSE,BUILDING,361805.629N,0321831.366E,127.65,14.76,NO INFO,,NO,
