Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTBJ144,BUILDING,BUILDING,381802.657N,0270755.043E,568.81,11.70,NO INFO,,NO
LTBJ145,BUILDING,BUILDING,381821.492N,0270815.512E,566.84,45.15,NO INFO,,NO
LTBJ146,BUILDING,BUILDING,381821.744N,0270816.722E,570.52,46.67,NO INFO,,NO
LTBJ147,BUILDING,BUILDING,381800.221N,0270742.685E,567.90,9.84,NO INFO,,NO
LTBJ148,BUILDING,BUILDING,381820.521N,0270808.417E,548.21,10.50,NO INFO,,NO
LTBJ149,BUILDING,BUILDING,381822.313N,0270817.969E,573.65,47.96,NO INFO,,NO
LTBJ150,BUILDING,BUILDING,381820.284N,0270806.594E,562.67,13.92,NO INFO,,NO
LTBJ151,BUILDING,BUILDING,381802.406N,0270756.638E,555.05,10.50,NO INFO,,NO
LTBJ152,BUILDING,BUILDING,381822.108N,0270816.067E,577.94,46.68,NO INFO,,NO
LTBJ153,BUILDING,BUILDING,381824.517N,0270828.891E,544.10,86.53,NO INFO,,NO
LTBJ154,BUILDING,BUILDING,381802.371N,0270757.009E,553.08,9.41,NO INFO,,NO
LTBJ155,BUILDING,BUILDING,381800.866N,0270749.705E,588.16,9.84,NO INFO,,NO
LTBJ156,BUILDING,BUILDING,381821.482N,0270811.680E,573.86,46.34,NO INFO,,NO
LTBJ157,BUILDING,BUILDING,381802.370N,0270758.110E,546.50,11.72,NO INFO,,NO
LTBJ158,BUILDING,BUILDING,381801.105N,0270751.796E,602.52,11.41,NO INFO,,NO
LTBJ159,BUILDING,BUILDING,381802.196N,0270758.433E,543.75,11.51,NO INFO,,NO
LTBJ160,BUILDING,BUILDING,381757.974N,0270736.494E,595.69,9.84,NO INFO,,NO
LTBJ161,BUILDING,BUILDING,381823.114N,0270816.667E,580.01,50.01,NO INFO,,NO
LTBJ162,BUILDING,BUILDING,381757.408N,0270736.835E,591.43,9.84,NO INFO,,NO
LTBJ163,BUILDING,BUILDING,381822.833N,0270813.179E,557.11,22.12,NO INFO,,NO
LTBJ164,BUILDING,BUILDING,381822.914N,0270812.891E,557.11,21.32,NO INFO,,NO
LTBJ165,BUILDING,BUILDING,381821.055N,0270802.634E,590.39,19.50,NO INFO,,NO
LTBJ166,BUILDING,BUILDING,381823.472N,0270814.382E,555.41,9.35,NO INFO,,NO
LTBJ167,BUILDING,BUILDING,381759.622N,0270751.467E,586.89,10.50,NO INFO,,NO
LTBJ168,BUILDING,BUILDING,381757.425N,0270740.318E,565.26,9.84,NO INFO,,NO
LTBJ169,BUILDING,BUILDING,381825.957N,0270825.740E,545.62,81.94,NO INFO,,NO
LTBJ170,BUILDING,BUILDING,381821.964N,0270804.351E,590.39,11.80,NO INFO,,NO
LTBJ171,BUILDING,BUILDING,381823.343N,0270811.550E,585.79,47.47,NO INFO,,NO
LTBJ172,BUILDING,BUILDING,381824.098N,0270814.770E,593.67,47.53,NO INFO,,NO
LTBJ173,BUILDING,BUILDING,381759.477N,0270753.223E,598.33,10.50,NO INFO,,NO
LTBJ174,BUILDING,BUILDING,381758.851N,0270750.580E,569.41,9.92,NO INFO,,NO
LTBJ175,BUILDING,BUILDING,381759.023N,0270751.929E,595.74,13.40,NO INFO,,NO
LTBJ176,BUILDING,BUILDING,381758.736N,0270750.416E,567.75,9.84,NO INFO,,NO
LTBJ177,BUILDING,BUILDING,381824.037N,0270812.751E,591.80,46.35,NO INFO,,NO
LTBJ178,BUILDING,BUILDING,381824.109N,0270813.053E,591.80,44.29,NO INFO,,NO
LTBJ179,BUILDING,BUILDING,381759.047N,0270752.780E,598.33,11.21,NO INFO,,NO
LTBJ180,BUILDING,BUILDING,381823.735N,0270810.483E,586.12,44.89,NO INFO,,NO
LTBJ181,BUILDING,BUILDING,381823.023N,0270806.363E,562.53,9.55,NO INFO,,NO
LTBJ182,BUILDING,BUILDING,381755.816N,0270736.749E,583.91,9.84,NO INFO,,NO
LTBJ183,BUILDING,BUILDING,381758.582N,0270751.698E,592.03,14.45,NO INFO,,NO
LTBJ184,BUILDING,BUILDING,381826.783N,0270824.783E,549.54,83.36,NO INFO,,NO
LTBJ185,BUILDING,BUILDING,381827.040N,0270826.059E,541.88,80.26,NO INFO,,NO
LTBJ186,BUILDING,BUILDING,381822.650N,0270802.564E,590.39,19.40,NO INFO,,NO
LTBJ187,BUILDING,BUILDING,381823.485N,0270806.895E,562.40,9.22,NO INFO,,NO
LTBJ188,BUILDING,BUILDING,381823.562N,0270807.225E,564.06,12.29,NO INFO,,NO
LTBJ189,BUILDING,BUILDING,381824.401N,0270811.632E,590.59,42.63,NO INFO,,NO
LTBJ190,BUILDING,BUILDING,381758.200N,0270751.584E,589.29,15.76,NO INFO,,NO
LTBJ191,BUILDING,BUILDING,381824.879N,0270813.457E,597.79,47.90,NO INFO,,NO
LTBJ192,BUILDING,BUILDING,381826.987N,0270824.687E,557.24,91.48,NO INFO,,NO
LTBJ193,BUILDING,BUILDING,381827.256N,0270826.001E,550.12,88.75,NO INFO,,NO
LTBJ194,BUILDING,BUILDING,381755.691N,0270738.724E,572.02,9.84,NO INFO,,NO
LTBJ195,BUILDING,BUILDING,381754.138N,0270731.229E,633.25,9.84,NO INFO,,NO
LTBJ196,BUILDING,BUILDING,381827.192N,0270824.620E,550.32,83.62,NO INFO,,NO
